Region Name,Region,Island Group,Region Center,Population,Land Area,Local Goverments
National Capital Region,NCR,Luzon,Manila,13403551,619.57 km squared,"Caloocan, Las Piñas, Makati, Malabon, Mandaluyong, Manila, Marikina, Muntinlupa, Navotas, Parañaque, Pasay, Pasig, Pateros, Quezon City, San Juan, Taguig, Valenzuela"
Cordillera Administrative Region,CAR,Luzon,Baguio,1791121,"19,422.03 km squared","Abra, Apayao, Baguio, Benguet, Ifugao, Kalinga, Mountain Province"
Ilocos Region,Region I,Luzon,San Fernando(La Union),5292297,"13,012.60 km squared","Dagupan, Ilocos Norte, Ilocos Sur, La Union, Pangasinan"
Cagayan Valley,Region II,Luzon,Tuguegarao,3679748,"28,228.83 km squared","Batanes, Cagayan, Isabela, Nueva Vizcaya, Quirino, Santiago"
Central Luzon,Region III,Luzon,San Fernando(Pampanga),12387811,"22,014.63 km squared","Angeles City, Aurora, Bataan, Bulacan, Nueva Ecija, Olongapo, Pampanga, Tarlac, Zambales"
Calabarzon,Region IV-A,Luzon,Calamba,16139770,"16,873.31 km squared","Batangas, Cavite, Laguna, Lucena, Quezon, Rizal"
Southwestern Tagalog Region,Mimaropa,Luzon,Calapan,3212287,"29,620.90 km squared","Marinduque, Occidental Mindoro, Oriental Mindoro, Palawan, Puerto Princesa, Romblon"
Bicol Region,Region V,Luzon,Legazpi,6067290,"18,155.82 km squared","Albay, Camarines Norte, Camarines Sur, Catanduanes, Masbate, Naga, Sorsogon"
Western Visayas,Region VI,Visayas,Iloilo City,7935531,"20,794.18 km squared","Aklan, Antique, Bacolod, Capiz, Guimaras, Iloilo, Iloilo City, Negros Occidental"
Central Visayas,Region VII,Visayas,Cebu City,8046285,"15,487.69 km squared","Bohol, Cebu, Cebu City, Lapu-Lapu, Mandaue, Negros Oriental, Siquijor"
Eastern Visayas,Region VIII,Visayas,Tacloban,4531512,"23,251.10 km squared","Biliran, Eastern Samar, Leyte, Northern Samar, Ormoc, Samar, Southern Leyte, Tacloban"
Zamboanga Peninsula,Region IX,Mindanao,Pagadian,3862588,"17,056.73 km squared","Isabela City, Zamboanga City, Zamboanga del Norte, Zamboanga del Sur, Zamboanga Sibugay"
Northern Mindanao,Region X,Mindanao,Cagayan de Oro,5007798,"20,496.02 km squared","Bukidnon, Cagayan de Oro, Camiguin, Iligan, Lanao del Norte, Misamis Occidental, Misamis Oriental"
Davao Region,Region XI,Mindanao,Davao City,5223802,"20,357.42 km squared","Davao City, Davao de Oro, Davao del Norte, Davao del Sur, Davao Occidental, Davao Oriental"
Soccsksargen,Region XII,Mindanao,Koronadal,4351773,"22,513.30 km squared","Cotabato, General Santos, Sarangani, South Cotabato, Sultan Kudarat"
Caraga,Region XIII,Mindanao,Butuan,2795340,"21,478.35 km squared","Agusan del Norte, Agusan del Sur, Butuan, Dinagat Islands, Surigao del Norte, Surigao del Sur"
Bangsamoro,BARMM,Mindanao,Cotabato City,4938539,"12,535.79 km squared","Basilan(excluding Isabela City), Cotabato City, Lanao del Sur, Maguindanao, Sulu, Tawi-Tawi, 63 barangays in Cotabato"
